Call_line,Date,Time,Received,Answered,Abandoned,Answered_wait,Abandoned_wait,Answer_Rate,Abandon_Rate,X0.10sec,X11.120sec,X2.3min,X3.5min,Over_5min,Weekday,X0.2min,estimate,smooth,Expected_Wait,X5.8min,Over_8min,Grade,Points
Reservations,1/1/2019,8:00:00,24,24,0,0:00:05,0:00:00,100,0,95.8,4.2,0,0,0,Tuesday,100,9,7,0.046491567,5.85E-05,8.90E-07,4,96
Reservations,1/1/2019,8:15:00,16,16,0,0:00:04,0:00:00,100,0,100,0,0,0,0,Tuesday,100,7,8,0.040149892,8.83E-05,2.02E-06,4,64
Reservations,1/1/2019,8:30:00,16,15,0,0:00:05,0:00:00,100,0,100,0,0,0,0,Tuesday,100,7,8,0.028233927,4.70E-05,8.77E-07,4,60
Reservations,1/1/2019,8:45:00,25,25,1,0:00:04,0:00:00,96.2,3.8,100,0,0,0,0,Tuesday,100,9,8,0.060382758,0.000100584,1.88E-06,4,100
Reservations,1/1/2019,9:00:00,9,9,0,0:00:05,0:00:00,100,0,100,0,0,0,0,Tuesday,100,5,8,0.037966016,0.000187548,7.97E-06,4,36
Reservations,1/1/2019,9:15:00,30,29,0,0:00:05,0:00:00,100,0,96.6,3.4,0,0,0,Tuesday,100,10,8,0.06023925,7.58E-05,1.15E-06,4,116
Reservations,1/1/2019,9:30:00,26,27,0,0:00:11,0:00:00,100,0,77.8,22.2,0,0,0,Tuesday,100,10,8,0.036898097,2.62E-05,2.66E-07,4,108
Reservations,1/1/2019,9:45:00,33,28,2,0:01:58,0:02:02,93.3,6.7,10.7,35.7,25,28.6,0,Tuesday,46.4,7,9,1.041294879,0.035502104,0.011620223,3,84
Reservations,1/1/2019,10:00:00,23,22,3,0:03:59,0:02:11,88,12,0,9.1,13.6,63.6,13.6,Tuesday,9.1,5,9,3.591941878,0.119240203,0.145040112,0,0
Reservations,1/1/2019,10:15:00,41,36,1,0:00:43,0:00:53,97.3,2.7,38.9,61.1,0,0,0,Tuesday,100,12,10,0.046672726,2.48E-05,2.06E-07,4,144
Reservations,1/1/2019,10:30:00,33,34,3,0:00:59,0:00:59,91.9,8.1,20.6,67.6,11.8,0,0,Tuesday,88.2,9,10,0.464824437,0.007747743,0.000965449,4,136
Reservations,1/1/2019,10:45:00,32,32,1,0:00:06,0:00:03,97,3,87.5,12.5,0,0,0,Tuesday,100,11,10,0.047330544,3.36E-05,3.42E-07,4,128
Reservations,1/1/2019,11:00:00,27,27,0,0:00:05,0:00:00,100,0,100,0,0,0,0,Tuesday,100,10,10,0.036898097,2.62E-05,2.66E-07,4,108
Reservations,1/1/2019,11:15:00,41,40,1,0:00:05,0:00:03,97.6,2.4,97.5,2.5,0,0,0,Tuesday,100,12,11,0.104881241,0.000174708,3.26E-06,4,160
Reservations,1/1/2019,11:30:00,35,34,1,0:00:05,0:00:02,97.1,2.9,100,0,0,0,0,Tuesday,100,11,11,0.073554106,9.25E-05,1.41E-06,4,136
Reservations,1/1/2019,11:45:00,33,32,1,0:00:05,0:00:04,97,3,93.8,6.3,0,0,0,Tuesday,100.1,11,11,0.047330544,3.36E-05,3.42E-07,4,128
